bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
null,-6950,11549,null,126678,60994,0.3,170508,58,8139,7772,9230,68920,300430.SZ,234688,62088,indicators,2019
null,-14173,28994,null,152729,80679,1.07,174977,9005,51410,47557,25227,151172,300432.SZ,270066,95265,indicators,2019
null,104013,725061,null,1663041,1900801,0.62,2235940,1225,246879,201200,282311,3025776,300433.SZ,4702855,2459104,indicators,2019
null,-467,18647,null,92042,36774,0.3,273250,26,12033,11015,16057,100561,300434.SZ,323026,45641,indicators,2019
null,-2615,13061,null,146796,74381,0.29,210772,1593,7744,6093,9139,103433,300435.SZ,288269,77062,indicators,2019
null,781,3399,null,19798,23255,0.08,56558,513,1074,-353,1255,41487,300436.SZ,89588,32015,indicators,2019
null,17619,11196,null,271625,203531,0.53,161155,null,11528,11255,22495,170781,300437.SZ,467385,276289,indicators,2019
null,-5959,19128,null,315655,266794,0.6,232835,234,16826,14757,20225,330845,300438.SZ,539824,289300,indicators,2019
null,2107,60117,null,213146,205939,-1.63,133725,3122,-55991,-58657,-52543,313345,300439.SZ,374086,235253,indicators,2019
null,462,13366,null,166795,62928,0.29,129669,1345,13020,11418,14186,68981,300440.SZ,196867,63839,indicators,2019
null,1908,21899,null,127214,112510,-0.22,135368,-1316,-14531,-21019,-9604,155956,300441.SZ,280306,120840,indicators,2019
null,-8,-10756,null,102475,76210,0.13,74007,35,1301,-1320,1213,63928,300442.SZ,154820,81770,indicators,2019
null,-5397,31350,null,125807,21525,0.86,193424,60,20520,20201,23372,112400,300443.SZ,223163,29740,indicators,2019
null,-3112,31244,null,207257,175978,-1.07,85195,202,-62910,-63416,-96618,170125,300444.SZ,286860,211303,indicators,2019
null,-3912,6818,null,37444,5575,0.48,58934,271,7895,6922,8800,28641,300445.SZ,65124,6387,indicators,2019
null,-556,8958,null,51955,3042,0.6,69159,1420,10961,9523,12268,27858,300446.SZ,74010,4852,indicators,2019
null,2068,8810,null,111493,38340,0.45,108992,-5,13708,7406,-9599,62545,300447.SZ,148550,38780,indicators,2019
null,16035,11871,null,125973,27074,0.23,142772,79,15443,14756,19393,78443,300448.SZ,181046,29202,indicators,2019
null,-13868,-920,null,100635,75607,-1.71,92714,-209,-51918,-54655,-50458,51541,300449.SZ,174156,81442,indicators,2019
null,59577,54138,null,753157,416842,0.87,428416,2073,76557,76787,88418,468398,300450.SZ,951670,523254,indicators,2019
null,6645,8016,null,164091,95753,0.43,258973,4650,31407,26069,35667,147982,300451.SZ,358966,96429,indicators,2019
null,892,7947,null,38090,18431,0.61,52578,467,8437,7442,10369,46407,300452.SZ,81017,21359,indicators,2019
null,2264,16736,null,44122,40191,0.24,66915,62,6168,5388,7752,72167,300453.SZ,114570,42768,indicators,2019
null,-30119,114497,null,267083,222346,1.9,432097,2913,75890,68125,78862,458990,300454.SZ,677244,245146,indicators,2019
null,51768,7076,null,180699,79160,0.23,144063,null,14318,14191,16687,92774,300455.SZ,227846,83783,indicators,2019
null,13920,18907,null,165140,54691,0.19,281971,5711,12069,6693,14739,71797,300456.SZ,418073,80677,indicators,2019
null,-20340,12564,null,372516,213725,0.44,314483,2713,16469,14489,20898,166976,300457.SZ,567869,249837,indicators,2019
null,37756,36493,null,218009,34800,0.41,220004,1090,13463,8575,13205,146336,300458.SZ,256840,36836,indicators,2019
null,-45554,104142,null,296005,192383,-0.79,368838,600,-277968,-281525,-272448,183061,300459.SZ,792665,423383,indicators,2019
null,-1849,527,null,40240,23717,-0.79,52339,null,-13295,-16243,-14221,30994,300460.SZ,80596,28257,indicators,2019
null,-2631,2585,null,39444,37916,-1.59,2886,null,-19653,-11442,-28689,50306,300461.SZ,48499,45470,indicators,2019
null,40776,30116,null,267822,130049,1.9,159185,372,27757,26023,31426,144018,300462.SZ,317968,158735,indicators,2019
null,3956,45952,null,350631,181942,0.95,312638,-6,52526,51853,69584,322296,300463.SZ,549684,216921,indicators,2019
null,5827,15289,null,166100,144169,0.48,180115,645,14855,13290,17283,349134,300464.SZ,340224,159377,indicators,2019
null,-1314,17077,null,133858,87577,0.3,131362,-10,13374,12420,14105,175832,300465.SZ,240887,105614,indicators,2019
null,3325,4840,null,74274,38661,-0.37,85972,192,-20343,-27230,-20711,50047,300466.SZ,126634,41380,indicators,2019
null,41990,17492,null,118687,39698,-5.28,107589,7067,-118621,-153596,-151995,48366,300467.SZ,164007,52480,indicators,2019
null,-974,11928,null,72344,9262,0.5,110244,55,9624,8844,10149,52556,300468.SZ,119741,9498,indicators,2019
null,-210,-2563,null,90287,78084,-0.73,30581,859,-15058,-17259,-17284,64020,300469.SZ,131148,94863,indicators,2019
null,12439,12240,null,128824,25899,1.15,133410,null,22085,21897,25513,88834,300470.SZ,174441,40728,indicators,2019
null,2107,18981,null,68420,52677,0.06,122294,-82,2083,-1727,1425,54282,300471.SZ,179978,54464,indicators,2019
null,-979,6484,null,68348,42497,0.29,107838,-235,6143,-3021,-1364,48588,300472.SZ,157862,45927,indicators,2019
null,-14815,23906,null,191010,154744,0.57,226167,-88,5989,5393,11937,386107,300473.SZ,495595,267580,indicators,2019
null,-6196,8696,null,215705,18718,0.58,235836,2,17597,16378,18772,53079,300474.SZ,259774,23938,indicators,2019
null,38445,5042,null,130008,15025,0.22,128288,3450,6461,3091,6901,30107,300475.SZ,147993,16781,indicators,2019
null,-21074,73791,null,295743,362993,0.6,332576,-997,46275,45067,52111,388462,300476.SZ,699232,366656,indicators,2019
null,-17217,20889,null,235483,253977,0.08,200338,629,6264,5072,7012,189430,300477.SZ,462165,261652,indicators,2019
null,-23984,-4496,null,45892,40653,-2.31,25607,819,-29251,-18646,-28378,69725,300478.SZ,81364,52787,indicators,2019
null,782,1410,null,57385,23343,0.12,62100,19,1984,879,3651,47039,300479.SZ,93436,25906,indicators,2019
null,-657,5784,null,54276,13049,0.29,73727,-628,5612,4623,6257,29664,300480.SZ,89895,14739,indicators,2019
null,140,14021,null,59432,8174,0.57,86597,391,14526,13695,16729,68025,300481.SZ,97642,10788,indicators,2019
null,-13663,30986,null,174072,44340,1.14,222333,-61,38746,37110,50878,207232,300482.SZ,294400,48345,indicators,2019
null,38335,67777,null,109323,189611,0.72,207463,-186,7375,9066,42416,153065,300483.SZ,710345,290841,indicators,2019
null,-1240,-4362,null,74270,30654,-0.73,54796,-6632,-15234,-16539,-16830,32009,300484.SZ,86094,30971,indicators,2019
null,21603,17252,null,163080,8806,0.31,267410,2346,14864,12907,17717,119090,300485.SZ,280550,9426,indicators,2019
null,11848,1252,null,128500,85312,0.51,140348,-220,9052,7988,10151,73632,300486.SZ,236377,95849,indicators,2019
null,-907,-4700,null,106753,59004,1.24,126135,74,25129,24652,28427,101193,300487.SZ,225349,97319,indicators,2019
null,-2060,10789,null,42295,10874,0.78,101951,2488,12896,9245,14764,35169,300488.SZ,119378,17323,indicators,2019
null,-2749,3401,null,14142,9790,-1.24,35411,null,-11240,-11477,-10384,12913,300489.SZ,49255,13843,indicators,2019
null,613,4212,null,184476,130359,0.34,176478,-312,8794,1621,10208,143886,300490.SZ,314385,134110,indicators,2019
null,-1415,-986,null,46629,16390,0.19,67655,393,3001,2249,3519,27672,300491.SZ,86013,18358,indicators,2019
null,-933,3104,null,29415,7208,0.26,29305,-47,2109,1781,2301,21374,300492.SZ,37227,7923,indicators,2019
null,-2027,26968,null,74419,21744,0.06,74358,1946,2935,2472,2903,145011,300493.SZ,97408,22718,indicators,2019
null,12587,8550,null,105458,31711,0.22,102218,834,5338,4437,6472,65474,300494.SZ,153854,45865,indicators,2019
null,20167,-25963,null,536971,423791,0.33,431813,1,21423,21565,26760,194544,300495.SZ,973007,537234,indicators,2019
null,2652,14221,null,153055,79346,0.59,191598,328,23764,17103,24639,182686,300496.SZ,282960,86039,indicators,2019
null,1727,33791,null,139005,72528,1.14,148999,-650,30584,29587,36926,135405,300497.SZ,259580,106830,indicators,2019
null,262561,1830293,null,2609374,1389667,2.66,4511189,12297,1396720,1305380,1489967,7312041,300498.SZ,6557892,1895082,indicators,2019
null,4531,5240,null,138836,104954,0.29,74765,36,5369,4001,5791,81682,300499.SZ,191272,108727,indicators,2019
null,-15812,13539,null,154725,92783,0.98,144008,1473,16946,11712,20945,125429,300500.SZ,250087,99202,indicators,2019
null,2042,9588,null,52565,43338,0.44,69373,1722,6698,6328,7393,62103,300501.SZ,123486,47249,indicators,2019
null,1614,10948,null,117102,32590,0.91,132799,198,21286,20287,24174,116487,300502.SZ,166518,33719,indicators,2019
null,29842,-3272,null,102673,66617,-0.55,88978,null,-15507,-17645,-18039,35151,300503.SZ,180511,87706,indicators,2019
null,-5378,13937,null,226652,69354,0.4,181137,1497,10768,8769,11847,213774,300504.SZ,250768,69631,indicators,2019
null,15680,12214,null,61027,23999,0.73,92676,null,7281,6810,8428,112600,300505.SZ,144676,51999,indicators,2019
null,24102,4635,null,302316,166310,0.23,201025,-176,14789,13825,20548,125203,300506.SZ,407363,194216,indicators,2019
null,-26974,4661,null,98615,18141,0.31,101447,1925,6763,5769,11481,70586,300507.SZ,127316,20154,indicators,2019
null,-2749,3752,null,41915,6592,0.72,53600,2950,6587,-2213,7274,19135,300508.SZ,60643,7043,indicators,2019
null,1154,1039,null,104305,75695,0.18,59603,null,4187,3507,5383,69194,300509.SZ,145103,77442,indicators,2019
null,-22714,6271,null,148322,70725,-1.36,293996,119,-120494,-162479,-121048,92669,300510.SZ,390782,94598,indicators,2019
null,-8247,58693,null,70113,128674,0.51,174048,52,22033,20948,20549,196457,300511.SZ,384185,210199,indicators,2019
null,8128,-6170,null,133837,49873,0.4,139783,1072,10866,9192,12319,85814,300512.SZ,191672,51355,indicators,2019
null,-2665,6277,null,192467,89374,0.51,247023,465,15984,15492,18364,140359,300513.SZ,372039,116858,indicators,2019
null,4085,12695,null,101154,53756,0.27,57190,17,5323,4744,5985,78040,300514.SZ,114678,57488,indicators,2019
null,-2493,7632,null,54746,14170,0.22,50398,753,4402,3043,5146,28247,300515.SZ,65138,14596,indicators,2019
null,-4841,8899,null,91366,14354,0.35,107702,227,6228,5693,6138,57270,300516.SZ,122056,14354,indicators,2019
null,5466,12774,null,107695,68088,0.24,72195,null,2556,2328,3046,72942,300517.SZ,140532,68337,indicators,2019
null,-484,13477,null,53179,39438,-2.42,72007,2607,-22577,-28946,-24574,21556,300518.SZ,133964,61677,indicators,2019
null,86,9827,null,69841,4993,0.59,79971,419,9390,9010,10863,29126,300519.SZ,86113,6142,indicators,2019
null,23433,9365,null,149459,95776,0.49,157269,180,11885,8001,13394,156972,300520.SZ,270929,111596,indicators,2019
null,-4726,898,null,31746,5719,0.04,51641,-46,577,260,557,16489,300521.SZ,58922,6222,indicators,2019
null,2180,5031,null,48072,5955,0.62,64625,172,7365,6979,8095,37150,300522.SZ,70962,6322,indicators,2019
null,9543,-4506,null,223135,88173,0.53,151868,-626,12353,11412,18763,156494,300523.SZ,266271,98697,indicators,2019
null,32533,11494,null,126557,45427,0.55,121551,316,10683,9902,14185,89877,300525.SZ,180945,49562,indicators,2019
null,1023,2925,null,30722,37659,0.16,57203,638,2767,2370,4161,52758,300526.SZ,106074,48872,indicators,2019
null,5111,84436,null,291374,164693,0.17,213304,null,15971,15049,21169,246444,300527.SZ,394273,170306,indicators,2019
null,10052,25915,null,186304,118135,0.02,136392,1432,657,-3338,-2230,213809,300528.SZ,255858,123233,indicators,2019
null,19093,58350,null,155974,26263,1.38,214247,3460,57082,52199,68033,143182,300529.SZ,249466,32413,indicators,2019
null,2816,-1752,null,46770,3442,0.28,52419,1120,2949,1060,3699,17350,300530.SZ,57877,4583,indicators,2019
null,18941,20998,null,120615,61495,0.18,123980,555,5136,2395,7072,95131,300531.SZ,190072,62686,indicators,2019
null,18147,11076,null,140872,90901,0.17,77254,679,4751,3869,4976,71241,300532.SZ,172490,95236,indicators,2019
null,-27365,8591,null,186126,23063,1.61,170068,6179,16088,10407,17202,41193,300533.SZ,192949,23063,indicators,2019
null,-1139,2821,null,27926,6688,0.04,73056,26,1278,544,1953,23900,300534.SZ,81015,7126,indicators,2019
null,-463,3099,null,43528,12180,0.38,75406,-7,3937,3579,4318,39634,300535.SZ,88321,12896,indicators,2019
null,-3792,19143,null,128160,78137,0.18,61230,-2,5253,5199,5872,46281,300536.SZ,140493,79266,indicators,2019
null,-4811,-2862,null,74837,56051,0.37,133051,50,7218,5244,6579,80896,300537.SZ,193658,60495,indicators,2019
null,5488,2520,null,82741,44874,0.26,45413,308,3942,3952,5686,178735,300538.SZ,91394,44874,indicators,2019
null,3252,3295,null,48469,44418,0.04,48912,123,976,710,1232,55667,300539.SZ,100346,51274,indicators,2019
null,-5644,4490,null,77555,37475,0.06,54781,128,742,-1236,136,43535,300540.SZ,94233,37616,indicators,2019
null,-7363,-35085,null,163218,101260,0.39,85453,580,7087,7081,8259,179251,300541.SZ,186712,101260,indicators,2019
null,-10353,8372,null,73121,32038,0.24,65574,261,5529,5091,7945,108425,300542.SZ,106364,38398,indicators,2019
null,11832,20348,null,97391,46334,0.86,75843,249,10323,9657,11523,140068,300543.SZ,122330,46440,indicators,2019
null,19430,6786,null,111191,59444,0.56,72107,-317,8087,7537,8704,68864,300545.SZ,145712,73606,indicators,2019
null,7952,8685,null,94677,24803,0.9,85398,79,12172,11605,13601,70619,300546.SZ,111274,25530,indicators,2019
null,-5099,4675,null,70687,12980,0.64,83653,1537,11251,7303,10959,57657,300547.SZ,97373,13720,indicators,2019
null,-6034,-568,null,51545,13872,0.09,62048,366,778,-277,917,40717,300548.SZ,76647,14599,indicators,2019
null,-2854,2798,null,50350,18818,0.16,50922,455,2098,1377,2437,35352,300549.SZ,74771,23849,indicators,2019
null,-13876,4142,null,74306,32093,0.36,61828,604,4123,3219,4528,44096,300550.SZ,95308,32308,indicators,2019
null,4984,6657,null,75772,25369,0.41,58829,236,4496,3181,4671,46625,300551.SZ,89803,30974,indicators,2019
null,31015,47081,null,273984,136628,8.17,164510,278,87155,86381,100668,335121,300552.SZ,301822,136901,indicators,2019
null,6519,2130,null,27546,3992,0.43,33728,20,2086,1655,2066,16633,300553.SZ,37189,3992,indicators,2019
null,7938,6581,null,49517,40951,0.11,50037,null,985,624,1050,22463,300554.SZ,92242,42205,indicators,2019
null,-202,5384,null,64422,14386,0.02,63972,481,496,-89,289,26378,300555.SZ,79292,14660,indicators,2019
null,2992,4435,null,91517,50882,0.25,51275,-143,2784,2031,3160,91641,300556.SZ,102621,51091,indicators,2019
null,4685,3045,null,74984,35346,0.18,48946,779,1019,-161,1602,26925,300557.SZ,90571,36467,indicators,2019
null,21633,55507,null,79224,70520,0.58,246054,-80,23082,20832,26656,155392,300558.SZ,413333,166412,indicators,2019
null,-16390,23788,null,100136,23724,0.77,96434,1723,20503,20281,23175,58297,300559.SZ,125620,23829,indicators,2019
null,-5914,-2114,null,80995,47033,0.3,58107,0,5687,5246,7453,71366,300560.SZ,119757,56348,indicators,2019
null,-4461,5242,null,52070,10740,0.08,66973,937,2012,738,1998,19654,300561.SZ,78349,11542,indicators,2019
null,-7115,7496,null,63698,41055,0.16,56818,-3,3106,2660,3764,88367,300562.SZ,98163,41358,indicators,2019
null,-1095,6010,null,40376,16300,0.67,52832,null,5364,5166,6163,47133,300563.SZ,70718,17880,indicators,2019
null,11956,15723,null,141495,64112,1.85,104015,912,14264,9880,15877,92415,300564.SZ,168502,64487,indicators,2019
null,-4363,-1833,null,55491,26896,-0.39,66738,22,-8203,-8539,-9947,33907,300565.SZ,95527,28788,indicators,2019
null,7817,12083,null,117963,119085,0.42,67782,40,6466,3903,6255,109621,300566.SZ,199148,129569,indicators,2019
null,30556,-11518,null,301023,185870,1.1,144866,-2370,26971,24268,30953,195073,300567.SZ,424916,276650,indicators,2019
null,15336,14726,null,173911,139803,0.66,246858,-622,13615,4559,6241,59974,300568.SZ,532922,285379,indicators,2019
null,8328,-16587,null,320569,277569,1.2,205507,null,26949,25917,33013,246418,300569.SZ,581713,370308,indicators,2019
null,4618,23689,null,117688,15850,0.73,130253,1418,16806,14403,19252,75323,300570.SZ,148599,17296,indicators,2019
null,23512,-7913,null,179740,119761,1.76,82870,-130,21269,20749,30455,171763,300571.SZ,221907,128466,indicators,2019
null,6289,22761,null,130346,63632,0.98,84863,1696,18870,16632,20967,97267,300572.SZ,150341,63744,indicators,2019
null,994,7408,null,28178,22107,0.45,56851,null,3589,3316,3769,54243,300573.SZ,85237,27746,indicators,2019
null,-4871,25497,null,106917,64921,1.13,128224,396,14976,14545,18003,156908,300575.SZ,224039,95022,indicators,2019
null,-902,1431,null,49945,24113,0.32,46342,-62,3784,3661,4546,45511,300576.SZ,70905,24563,indicators,2019
null,13486,14214,null,148129,105403,1.04,83402,377,22600,20854,28213,269482,300577.SZ,196975,106955,indicators,2019
null,-5287,10581,null,47713,26726,0.55,110516,534,9020,7987,10721,53465,300578.SZ,139085,27873,indicators,2019
null,-1094,7479,null,116998,62210,0.55,67962,852,9853,8435,11029,79389,300579.SZ,131711,63536,indicators,2019
null,-607,17630,null,79351,29344,0.84,151975,761,16782,15375,19163,80186,300580.SZ,185378,33403,indicators,2019
null,-6030,-3712,null,66888,14445,0.28,66112,148,4860,3933,4808,23868,300581.SZ,80919,14807,indicators,2019
null,-5579,14118,null,61690,55602,0.54,106228,-45,10615,8507,12488,100878,300582.SZ,173531,67303,indicators,2019
null,7998,5762,null,150670,94305,0.52,183306,1189,5531,4373,6719,96580,300583.SZ,298726,110050,indicators,2019
null,4913,9728,null,34317,20563,0.81,65408,-10,9726,9521,11427,92454,300584.SZ,86918,21519,indicators,2019
null,-2625,3929,null,38666,27314,0.13,48869,642,2121,1902,1276,36996,300585.SZ,78845,28887,indicators,2019
null,5856,17202,null,64926,63211,0.38,69530,2485,9011,8551,10588,126024,300586.SZ,181187,90149,indicators,2019
null,3008,-8071,null,142675,91951,0.7,104547,46,12675,12449,19432,99023,300587.SZ,234618,113123,indicators,2019
null,-5329,4993,null,77574,51309,0.06,41795,3688,896,-2856,667,28106,300588.SZ,93524,51729,indicators,2019
null,-6818,-1778,null,45559,42618,0.17,36358,671,3404,3053,3597,55070,300589.SZ,81287,44929,indicators,2019
null,12874,11116,null,87495,17838,1.01,100455,390,16227,13753,17066,62947,300590.SZ,118624,18169,indicators,2019
null,2874,3040,null,99655,52524,0.08,56889,0,2400,2249,3032,67554,300591.SZ,127099,66762,indicators,2019
null,2892,7538,null,87240,56124,0.07,51309,null,798,53,1012,41178,300592.SZ,112340,61031,indicators,2019
null,-818,6693,null,93142,38468,0.38,65620,368,6223,5678,7546,77235,300593.SZ,141763,59336,indicators,2019
null,5925,-10186,null,102275,30228,1.05,81564,null,8174,7481,8849,52570,300594.SZ,112569,30999,indicators,2019
null,3987,27537,null,123276,15794,0.77,133043,3699,30689,26721,33371,64690,300595.SZ,160602,16817,indicators,2019
null,-8852,16597,null,137611,97456,1.38,190977,41,26231,24673,28753,197831,300596.SZ,315014,121213,indicators,2019
